Restaurant_name,Restaurant_location,Restaurant_cuisine,Restaurant_score,Number_of_reviews
Nguyen Kitchen,Mitte,Asian Restaurant,5.0,7.0
Levante Bistro,Mitte,Lebanese Restaurant,,
Xigon,Friedrichshain,Asian Restaurant,5.1,9.0
Viti Restaurant,Mitte,Asian Restaurant,0.0,2.0
La Ola Berlin,Prenzlauer Berg,Mexican Restaurant,,
Yeni Adana Grillhaus,Kreuzberg,Turkish Restaurant,5.8,6.0
Ständige Weihnachtsvertretung,Mitte,German Restaurant,,
Chicago Williams BBQ,Charlottenburg,American Restaurant,5.5,16.0
Atumi,Mitte,Asian Restaurant,0.0,1.0
Cafe Nook,Prenzlauer Berg,International Restaurant,5.2,5.0
Yakoolza,Mitte,Japanese Restaurant,5.0,2.0
Suriya Kanthi,Prenzlauer Berg,Sri Lankan Restaurant,0.0,1.0
AROY Restaurant,Mitte,Asian Restaurant,5.7,3.0
TAT Restaurant,Friedrichshain,Vietnamese Restaurant,0.0,9.0
Escendo (Gleimstraße),Prenzlauer Berg,Italian Restaurant,5.4,9.0
Hatay Ocakbasi - Restaurant - Berlin,Kreuzberg,Turkish Restaurant,,
Karaca,Mitte,Cake & Coffee,5.5,4.0
Saravanaa Bhavan,Tiergarten,Indian Restaurant,4.7,6.0
Vietime Asian Fusion,Mitte,Asian Restaurant,,
Trattoria Marechiaro Cucina Italiana,Kreuzberg,Italian Restaurant,5.0,4.0
Bun Sushi & Bar,Mitte,Asian Restaurant,4.8,4.0
Café GUTH,Prenzlauer Berg,International Restaurant,,
Café MadaMe,Kreuzberg,German Restaurant,5.7,3.0
Famoso Pizzeria,Prenzlauer Berg,Italian Restaurant,,
Filiz Kitchen & Catering,Kreuzberg,Turkish Restaurant,,
Rou Vegan,Mitte,Asian Restaurant,,
NoiDue Café-Restaurant,Prenzlauer Berg,Italian Restaurant,5.0,1.0
Shibu Vegan,Prenzlauer Berg,Japanese Restaurant,,
Öz Adana Grillhaus,Kreuzberg,Turkish Restaurant,0.0,2.0
Trattoria Fidelia,Tiergarten,Italian Restaurant,5.3,10.0
Ebe Ano,Wilmersdorf,African Restaurant,5.4,17.0
Glory Duck Restaurant,Friedrichshain,Asian Restaurant,5.5,12.0
Vietnam Village,Prenzlauer Berg,Vietnamese Restaurant,,
Trattoria Sarda,Prenzlauer Berg,Italian Restaurant,5.9,8.0
Adana Grillhaus,Kreuzberg,Turkish Restaurant,5.0,3.0
Alata Ramen,Mitte,Japanese Restaurant,,
SushiMoto,Prenzlauer Berg,Sushi,,
Weinverein Rote Insel,Schöneberg,French Restaurant,5.4,16.0
Jeta ime Restaurant,Friedrichshain,Seafood Restaurant,0.0,3.0
Juki - Korean BBQ,Prenzlauer Berg,Korean Restaurant,5.7,3.0
Kuzo Restaurant,Prenzlauer Berg,Vietnamese Restaurant,,
Babaleison,Kreuzberg,Turkish Restaurant,,
Pinoy,Charlottenburg,Asian Restaurant,5.1,29.0
Ahorn Restaurant,Prenzlauer Berg,Vietnamese Restaurant,,
Trattoria Bar Lambretta,Friedrichshain,Italian Restaurant,5.5,8.0
Restaurant Mardin Berlin,Kreuzberg,Turkish Restaurant,5.0,10.0
Nguyen & Friends,Kreuzberg,Asian Fusion Restaurant,5.7,3.0
Potemkin Restaurant,Schöneberg,Russian Restaurant,5.5,15.0
Little Long - Japanese Modern & Fusion Cuisine,Kreuzberg,Asian Restaurant,5.7,3.0
Tasty Cuisine,Wilmersdorf,Asian Fusion Restaurant,5.4,18.0
Street Restaurant - Asian Grill,Prenzlauer Berg,Asian Restaurant,,
MadMeals,Prenzlauer Berg,Mexican Restaurant,,
Rembrandt Burger,Friedrichshain,Burgers,5.5,2.0
Weilands,Mitte,Israeli Restaurant,4.0,5.0
Freshdays,Kreuzberg,Vietnamese Restaurant,,
Nymami,Prenzlauer Berg,Vietnamese Restaurant,,
Sala7,Kreuzberg,Italian Restaurant,5.3,3.0
Vedang - Plant Burger,Prenzlauer Berg,International Restaurant,1.0,1.0
Loggia Restaurant Pizzeria,Schöneberg,Italian Restaurant,5.3,14.0
Pfau Restaurant & Bar,Kreuzberg,International Restaurant,,
GLASWEISE,Kreuzberg,Eat & Drink,0.0,6.0
Lalibela,Neukölln,Ethiopian Restaurant,5.3,14.0
Fancy Lemon - Pizza Napoletana,Prenzlauer Berg,Italian Restaurant,5.5,2.0
Batho Restaurant,Friedrichshain,Asian Fusion Restaurant,0.0,7.0
Waterlily,Friedrichshain,Vietnamese Restaurant,,
Gasthaus Figl,Kreuzberg,Italian Restaurant,5.5,6.0
Cafe Bar Moloko,Prenzlauer Berg,International Restaurant,4.3,6.0
Trattoria Leo e pepe,Kreuzberg,Italian Restaurant,0.0,3.0
Aleppo Supper Club Restaurant,Friedrichshain,Syrian Restaurant,5.4,9.0
Ông Chu,Kreuzberg,Vietnamese Restaurant,,
Huong Quê Restaurant Kreuzberg,Kreuzberg,Asian Restaurant,,
Sorella,Kreuzberg,Neapolitan Restaurant,,
"Lalibela Restaurant- Taste of Ethiopia, Maybachufer",Neukölln,Ethiopian Restaurant,4.5,2.0
Chay Long Hasenheide,Kreuzberg,Asian Restaurant,5.3,6.0
Nam Long,Kreuzberg,Vietnamese Restaurant,5.7,3.0
Kissho Sushi and more,Kreuzberg,Japanese Restaurant,,
Sora - Café & Wohnaccessoires,Kreuzberg,Eat & Drink,0.0,1.0
Sonkei Restaurant,Kreuzberg,Asian Restaurant,0.0,1.0
Reichen Burger,Kreuzberg,Burgers,,
Unser Café 2,Schöneberg,Portuguese Restaurant,5.9,12.0
Golden Tiger,Prenzlauer Berg,Asian Restaurant,,
Kai Maison,Neukölln,Asian Restaurant,5.3,4.0
Meyman Pizzeria,Friedrichshain,Italian Restaurant,5.7,3.0
MedEATerranean TRIP,Friedrichshain,Mediterranean Restaurant,5.8,6.0
Ja Niko Ja,Mitte,Greek Restaurant,5.3,12.0
Mido Sakura Vegan,Prenzlauer Berg,Asian Restaurant,,
Restaurant Hasenheide,Kreuzberg,German Restaurant,5.1,7.0
CANTUCCIO Ristorante,Kreuzberg,Italian Restaurant,,
Maison Rahel,Kreuzberg,Mediterranean Restaurant,0.0,1.0
Ristorante Don Giovanni,Moabit,Italian Restaurant,5.0,5.0
Batu Pattaya Restaurant,Prenzlauer Berg,Asian Restaurant,5.5,2.0
Vina Haus Restaurant,Prenzlauer Berg,Vietnamese Restaurant,,
MANNA Café,Prenzlauer Berg,International Restaurant,,
Saigon Dragon Restaurant,Friedrichshain,Vietnamese Restaurant,5.5,2.0
AnCom Kitchen,Kreuzberg,Vietnamese Restaurant,0.0,1.0
Beef Grill Club by Hasir - Wilmersdorf,Wilmersdorf,Steak Restaurant,5.0,21.0
Lang Xua Restaurant,Friedrichshain,Vietnamese Restaurant,0.0,1.0
Viet Nam & Sushi Bar F-Hain,Friedrichshain,Asian Restaurant,,
Cafe Drei Elefanten,Neukölln,Ukranian Restaurant,5.5,11.0
My Tibet Haus,Friedrichshain,Indian Restaurant,5.5,6.0
Fabbrica del Gusto,Prenzlauer Berg,Italian Restaurant,5.0,1.0
